,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
158,1957-58,Basketball,Jr. Varsity,Boys,Div I,Western Canada
159,1957-58,Basketball,Jr. Varsity,Girls,Div I,Western Canada
160,1957-58,Basketball,Sr. Varsity,Boys,Div I,Western Canada
161,1957-58,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
162,1957-58,Football,Jr. Varsity,Boys,Div I,St. Mary's
163,1957-58,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
164,1957-58,Track and Field,Jr. Varsity,Boys,None,Crescent Heights
165,1957-58,Track and Field,Jr. Varsity,Girls,None,Western Canada
166,1957-58,Track and Field,Sr. Varsity,Boys,None,Crescent Heights
167,1957-58,Track and Field,Sr. Varsity,Girls,None,Crescent Heights
168,1958-59,Basketball,Jr. Varsity,Boys,Div I,St. Mary's
169,1958-59,Basketball,Jr. Varsity,Girls,Div I,Western Canada
170,1958-59,Basketball,Sr. Varsity,Boys,Div I,Western Canada
171,1958-59,Basketball,Sr. Varsity,Girls,Div I,Western Canada
172,1958-59,Football,Jr. Varsity,Boys,Div I,Western Canada
173,1958-59,Football,Sr. Varsity,Boys,Div I,Crescent Heights
174,1958-59,Track and Field,Jr. Varsity,Boys,None,Central Collegiate Instate
175,1958-59,Track and Field,Jr. Varsity,Girls,None,Crescent Heights
176,1958-59,Track and Field,Sr. Varsity,Boys,None,Viscount Bennett
177,1958-59,Track and Field,Sr. Varsity,Girls,None,Crescent Heights
178,1959-60,Basketball,Jr. Varsity,Boys,Div I,Western Canada
179,1959-60,Basketball,Jr. Varsity,Girls,Div I,Western Canada
180,1959-60,Basketball,Sr. Varsity,Boys,Div I,Western Canada
181,1959-60,Basketball,Sr. Varsity,Girls,Div I,Western Canada
182,1959-60,Football,Jr. Varsity,Boys,Div I,Western Canada
183,1959-60,Football,Sr. Varsity,Boys,Div I,Queen Elizabeth
184,1959-60,Track and Field,Jr. Varsity,Boys,None,Viscount Bennett
185,1959-60,Track and Field,Jr. Varsity,Girls,None,Viscount Bennett
186,1959-60,Track and Field,Sr. Varsity,Boys,None,Western Canada
187,1959-60,Track and Field,Sr. Varsity,Girls,None,Western Canada
188,1960-61,Basketball,Jr. Varsity,Boys,Div I,Western Canada
189,1960-61,Basketball,Jr. Varsity,Girls,Div I,Viscount Bennett
190,1960-61,Basketball,Sr. Varsity,Boys,Div I,Western Canada
191,1960-61,Basketball,Sr. Varsity,Girls,Div I,William Aberhart
192,1960-61,Football,Jr. Varsity,Boys,Div I,St. Mary's
193,1960-61,Football,Sr. Varsity,Boys,Div I,Viscount Bennett
194,1960-61,Soccer,Varsity,Boys,Div I,Crescent Heights
195,1960-61,Track and Field,Jr. Varsity,Boys,None,Crescent Heights
196,1960-61,Track and Field,Jr. Varsity,Girls,None,Viscount Bennett
197,1960-61,Track and Field,Sr. Varsity,Boys,None,Western Canada
198,1960-61,Track and Field,Sr. Varsity,Girls,None,"Western Canada, 
William Aberhart 
and Viscount Bennett"
199,1960-61,Volleyball,Jr. Varsity,Girls,Div I,Crescent Heights
200,1960-61,Volleyball,Sr. Varsity,Girls,Div I,Crescent Heights
201,1961-62,Basketball,Jr. Varsity,Boys,Div I,Western Canada
202,1961-62,Basketball,Jr. Varsity,Girls,Div I,Central Memorial
203,1961-62,Basketball,Sr. Varsity,Boys,Div I,Western Canada
204,1961-62,Basketball,Sr. Varsity,Girls,Div I,William Aberhart
205,1961-62,Football,Jr. Varsity,Boys,Div I,St. Mary's
206,1961-62,Football,Sr. Varsity,Boys,Div I,St. Mary's
207,1961-62,Soccer,Varsity,Boys,Div I,Crescent Heights
208,1961-62,Track and Field,Jr. Varsity,Boys,None,Central Collegiate Institute
209,1961-62,Track and Field,Jr. Varsity,Girls,None,Viscount Bennett
210,1961-62,Track and Field,Sr. Varsity,Boys,None,Viscount Bennett
211,1961-62,Track and Field,Sr. Varsity,Girls,None,William Aberhart
212,1961-62,Volleyball,Jr. Varsity,Girls,Div I,Crescent Heights
213,1961-62,Volleyball,Sr. Varsity,Girls,Div I,Western Canada
214,1962-63,Basketball,Jr. Varsity,Boys,Div I,Western Canada
215,1962-63,Basketball,Jr. Varsity,Girls,Div I,Viscount Bennett
216,1962-63,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
217,1962-63,Basketball,Sr. Varsity,Girls,Div I,Western Canada
218,1962-63,Football,Jr. Varsity,Boys,Div I,St. Mary's
219,1962-63,Football,Sr. Varsity,Boys,Div I,Henry Wise Wood
220,1962-63,Soccer,Varsity,Boys,Div I,Crescent Heights
221,1962-63,Swimming,Grand Aggregate,Coed,None,Viscount Bennett
222,1962-63,Track and Field,Jr. Varsity,Boys,None,Crescent Heights
223,1962-63,Track and Field,Jr. Varsity,Girls,None,"Viscount Bennett
and Central Collegiate Institute"
224,1962-63,Track and Field,Sr. Varsity,Boys,None,St. Mary's
225,1962-63,Track and Field,Sr. Varsity,Girls,None,"Viscount Bennett 
and Central Collegiate Institute"
226,1962-63,Volleyball,Jr. Varsity,Girls,Div I,Viscount Bennett
227,1962-63,Volleyball,Sr. Varsity,Girls,Div I,William Aberhart
228,1963-64,Basketball,Jr. Varsity,Boys,Div I,St. Mary's
229,1963-64,Basketball,Jr. Varsity,Girls,Div I,Western Canada
230,1963-64,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
231,1963-64,Basketball,Sr. Varsity,Girls,Div I,Crescent Heights
232,1963-64,Football,Jr. Varsity,Boys,Div I,Crescent Heights
233,1963-64,Football,Sr. Varsity,Boys,Div I,St. Mary's
234,1963-64,Soccer,Varsity,Boys,Div I,Not Awarded
235,1963-64,Swimming,Grand Aggregate,Coed,None,William Aberhart
236,1963-64,Track and Field,Jr. Varsity,Boys,None,St. Mary's
